# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	66314
#@/user_id	5a07802e-f501-4e1e-90d0-e1d0749305c3
a 	啊	c=201 d=0.985963 t=66314
a 	阿	c=6 d=2.42591e-44 t=66314
a a 	啊啊	c=50 d=0.937124 t=66314
a a a 	啊啊啊	c=14 d=5.84655e-10 t=66314
a a a a 	啊啊啊啊	c=1 d=1.36621e-24 t=66314
a bao cun 	啊保存	c=3 d=5.32125e-24 t=66314
a fa 	阿伐	c=3 d=4.34886e-24 t=66314
a ge 	阿哥	c=0 d=0.1 t=27565
a ha 	啊哈	c=10 d=3.05964e-14 t=66314
a ha ha 	啊哈哈	c=1 d=1.47668e-27 t=66314
a ha ha ha ha 	啊哈哈哈哈	c=1 d=1 t=28182
a ji fen ka di fang 	啊計分卡地方	c=1 d=1 t=66314
a li 	阿里	c=12 d=3.59323e-07 t=66314
a ya 	啊呀	c=1 d=2.88039e-05 t=66314
a yo 	啊唷	c=0 d=3.85874e-05 t=66314
ai 	唉	c=3 d=5.76527e-20 t=66314
ai 	愛	c=2 d=1 t=54930
ai ai 	愛愛	c=0 d=0.1 t=49825
ai bo 	愛波	c=2 d=3.34358e-24 t=66314
ai de 	愛的	c=2 d=1.99501 t=34302
ai guo lu 	愛國路	c=1 d=5.74347e-36 t=66314
ai kang 	愛康	c=1 d=7.60841e-50 t=66314
ai ni 	愛你	c=3 d=2.98506 t=42130
ai qi yi 	愛奇藝	c=2 d=1.96882e-48 t=66314
ai shang 	愛上	c=1 d=1 t=33185
ai su 	哀訴	c=0 d=0.1 t=49784
an 	安	c=5 d=3.86118e-32 t=66314
an 	按	c=53 d=0.176444 t=66314
an biao zhun 	按標準	c=1 d=1 t=44867
an ding 	安定	c=2 d=5.43536e-05 t=66314
an li 	安利	c=1 d=1 t=62061
an li 	案例	c=2 d=1 t=54670
an li shuo 	按理說	c=1 d=1 t=43743
an nian 	暗念	c=0 d=2.37776e-44 t=66314
an nian ni 	暗念你	c=1 d=2.38968e-43 t=66314
an niu 	按鈕	c=6 d=0.00759701 t=66314
an pai 	安排	c=10 d=3.10473e-05 t=66314
an pao tui 	安跑腿	c=1 d=3.81957e-31 t=66314
an quan 	安全	c=9 d=1 t=64349
an shan 	鞍山	c=1 d=1.71683e-35 t=66314
an wei 	安慰	c=0 d=1.20171e-45 t=66314
an wei ni 	安慰你	c=1 d=1.20773e-44 t=66314
an zhao 	按照	c=10 d=9.32425e-20 t=66314
an zhuang 	安裝	c=22 d=1.96063e-09 t=66314
an zhuo 	安卓	c=4 d=0.470011 t=66314
ba 	八	c=0 d=0.1 t=24562
ba 	吧	c=402 d=1.76881 t=66314
ba 	把	c=42 d=0.0108347 t=66314
ba 	爸	c=2 d=3.28304e-05 t=66314
ba cha kan 	吧查看	c=1 d=9.35254e-37 t=66314
ba dian ban 	八點半	c=1 d=1 t=50159
ba la 	巴拉	c=3 d=1.99501 t=54710
